State,Bad feeling,Meaning and purpose,Good feeling,OAC,Social skepticism,Community wellbeing
AL,0.58,1.45,0.47,0.97,0.04,0.56
BE,0.98,0.86,0.88,0.7,0.79,0.71
BG,0.52,0.69,0.35,0.6,0.001,0.83
CH,0.96,0.95,1.12,1.13,1.18,0.94
CY,0.79,1.02,0.88,0.86,0.11,0.7
CZ,0.5,0.48,0.79,0.4,0.51,0.53
DE,0.97,0.99,0.92,1,0.87,0.92
DK,1.19,1.1,1.13,1.16,1.63,0.89
EE,0.65,0.77,0.7,0.72,0.92,0.6
ES,0.8,0.94,0.68,0.67,0.77,0.85
FI,1.16,0.93,0.93,0.91,1.42,0.72
FR,0.68,0.81,0.78,0.73,0.71,0.73
GB,0.82,0.63,0.8,0.75,1.05,0.74
HU,0.28,0.78,0.48,0.33,0.68,0.97
IE,1.02,0.65,0.87,0.94,0.98,0.92
IL,0.95,0.94,0.89,1.1,0.84,0.77
IS,1.05,0.91,1.1,0.93,1.39,1.23
IT,0.63,0.8,0.64,0.8,0.51,0.67
LT,0.62,0.62,0.48,0.51,0.81,0.67
NL,0.84,0.96,1.02,0.69,1.2,0.78
NO,1.29,0.65,1.1,0.97,1.51,1
PL,0.87,1.01,0.83,0.82,0.32,0.76
PT,0.59,0.52,0.53,0.64,0.23,0.75
RU,0.43,0.62,0.58,0.48,0.6,0.52
SE,1.13,0.59,1,0.99,1.31,0.98
SI,1.1,0.72,0.99,0.95,0.65,0.82
SK,0.49,0.4,0.75,0.57,0.3,0.74
UA,0.11,0.39,0.58,0.56,0.51,0.69
XK,0.47,1.12,0.58,1.21,0.07,0.94
